crop,year,season,state,city,area,production,fertilizer,pesticide,yield,avg_temp_c,total_rainfall_mm,avg_humidity_percent,N,P,K,pH
other summer pulses,2016,Kharif,Andhra Pradesh,Nandyal,3.0270166877267077,18,424.40763661664363,10.363885243339366,5.968454552973492,26.089388559063053,1777.9504961319367,74.59075415240277,113,17,73,7.231866247931704
black pepper,2016,Kharif,Andhra Pradesh,Nandyal,8.33228227619142,2,1003.7617485146166,16.592732964499433,0.33239980662180174,26.089388559063053,1777.9504961319367,74.59075415240277,30,51,77,7.0559898459957635
maize,2016,Kharif,Andhra Pradesh,Nandyal,1.504362130322334,0,218.00627053768793,5.282304683130462,0.1,26.089388559063053,1777.9504961319367,74.59075415240277,99,44,34,6.190821981846722
other  rabi pulses,2016,Kharif,Andhra Pradesh,Nandyal,14.169198068913843,18,1752.300500803964,26.37353588676084,1.3401178532327247,26.089388559063053,1777.9504961319367,74.59075415240277,71,16,75,7.249636586285396
rice,2016,Kharif,Andhra Pradesh,Nandyal,16.179832561963117,39,2229.4489446608604,37.49083438293465,2.4187649311406125,26.089388559063053,1777.9504961319367,74.59075415240277,78,39,40,6.223284911788522
masoor,2016,Rabi,Andhra Pradesh,Nandyal,8.724905914027712,0,810.5076203339977,19.959770804211324,0.1,17.793477368362012,180.5231435962286,49.39858790313928,17,40,29,6.831368327506158
onion,2016,Rabi,Andhra Pradesh,Nandyal,1.952425903292971,1,209.61642771469806,4.834469711823401,0.9403388255543108,17.793477368362012,180.5231435962286,49.39858790313928,79,45,71,6.4232275816692015
wheat,2016,Rabi,Andhra Pradesh,Nandyal,16.149553765323013,3,2073.944153320954,32.58756152738372,0.24093179464283895,17.793477368362012,180.5231435962286,49.39858790313928,90,50,40,6.514436935103645
peas & beans (pulses),2016,Rabi,Andhra Pradesh,Nandyal,2.344898553809433,0,283.9253324012877,6.060114191530392,0.1,17.793477368362012,180.5231435962286,49.39858790313928,24,43,34,6.5300314354235764
barley,2016,Rabi,Andhra Pradesh,Nandyal,5.110666860269183,1,577.8611328300582,10.594710547170216,0.28141744480281966,17.793477368362012,180.5231435962286,49.39858790313928,68,39,30,6.550022251088002
ragi,2016,Summer,Andhra Pradesh,Nandyal,21.26590521206965,2,3064.514241084233,57.766976671181695,0.11165281044192957,29.544137321281276,273.98480292447056,43.63360132125094,51,29,30,6.29861152921179
tobacco,2016,Summer,Andhra Pradesh,Nandyal,2.0348254522306863,0,240.64941852970807,4.9646903389655925,0.1,29.544137321281276,273.98480292447056,43.63360132125094,73,46,73,6.0234742837520105
sesamum,2016,Summer,Andhra Pradesh,Nandyal,2.2003871944214226,0,328.77699321644934,4.5915450608333845,0.1867500614513286,29.544137321281276,273.98480292447056,43.63360132125094,39,28,30,6.457507851450956
gram,2016,Summer,Andhra Pradesh,Nandyal,1.0322784452779115,0,130.20234611396933,2.5847768313874844,0.1468512855755863,29.544137321281276,273.98480292447056,43.63360132125094,19,45,29,7.009098397384165
coriander,2016,Whole Year,Andhra Pradesh,Nandyal,5.824175115177938,7,715.0743896939671,16.25452725394107,1.2855857236492392,24.010439431297534,1009.4185382550755,54.71817354766289,17,58,72,7.723750617206077
arhar/tur,2016,Whole Year,Andhra Pradesh,Nandyal,14.221498156182397,4,2071.838586945631,32.18528848084954,0.34395303847730974,24.010439431297534,1009.4185382550755,54.71817354766289,25,39,34,6.5296136327179095
khesari,2016,Whole Year,Andhra Pradesh,Nandyal,42.06563848974269,5,5353.13281111511,87.34615364168518,0.14162098184826533,24.010439431297534,1009.4185382550755,54.71817354766289,41,14,28,5.203699154862044
